"sofifa_id","short_name","age","league_name","overall","potential","player_positions","pace","shooting","passing","dribbling","defending","physic","gk_diving","gk_handling","gk_kicking","gk_reflexes","gk_speed"
212622,"J. Kimmich",25,"German 1. Bundesliga",88,90,"CDM, RB",71,72,86,84,81,79,NA,NA,NA,NA,NA
202126,"H. Kane",26,"English Premier League",88,89,"ST",68,91,80,80,47,83,NA,NA,NA,NA,NA
211110,"P. Dybala",26,"Italian Serie A",88,89,"CF, CAM",85,85,84,92,43,63,NA,NA,NA,NA,NA
162835,"S. Handanovič",35,"Italian Serie A",88,88,"GK",NA,NA,NA,NA,NA,NA,88,85,73,89,53
182521,"T. Kroos",30,"Spain Primera Division",88,88,"CM",54,81,91,81,71,69,NA,NA,NA,NA,NA
183277,"E. Hazard",29,"Spain Primera Division",88,88,"LW, ST",88,82,83,92,35,66,NA,NA,NA,NA,NA
201024,"K. Koulibaly",29,"Italian Serie A",88,88,"CB",75,28,55,68,89,86,NA,NA,NA,NA,NA
215914,"N. Kanté",29,"English Premier League",88,88,"CDM, CM",77,66,76,81,86,82,NA,NA,NA,NA,NA
233049,"J. Sancho",20,"German 1. Bundesliga",87,93,"RM, LM, CAM",83,74,81,91,37,64,NA,NA,NA,NA,NA
231281,"T. Alexander-Arnold",21,"English Premier League",87,92,"RB",80,66,87,80,80,71,NA,NA,NA,NA,NA
212198,"Bruno Fernandes",25,"English Premier League",87,90,"CAM, CM",77,83,88,85,68,75,NA,NA,NA,NA,NA
212218,"A. Laporte",26,"English Premier League",87,90,"CB",63,50,72,68,88,81,NA,NA,NA,NA,NA
209499,"Fabinho",26,"English Premier League",87,89,"CDM",67,69,79,77,85,83,NA,NA,NA,NA,NA
216267,"A. Robertson",26,"English Premier League",87,89,"LB",82,62,80,80,81,76,NA,NA,NA,NA,NA
218667,"Bernardo Silva",25,"English Premier League",87,88,"RW, CAM, CM",81,77,83,92,51,67,NA,NA,NA,NA,NA
138956,"G. Chiellini",35,"Italian Serie A",87,87,"CB",66,46,58,60,90,79,NA,NA,NA,NA,NA
167948,"H. Lloris",33,"English Premier League",87,87,"GK",NA,NA,NA,NA,NA,NA,89,82,68,90,63
176580,"L. Suárez",33,"Spain Primera Division",87,87,"ST",70,90,82,83,51,83,NA,NA,NA,NA,NA
177003,"L. Modrić",34,"Spain Primera Division",87,87,"CM",73,76,89,88,71,66,NA,NA,NA,NA,NA
183898,"A. Di María",32,"French Ligue 1",87,87,"RW, LW",83,81,85,88,48,68,NA,NA,NA,NA,NA
186153,"W. Szczęsny",30,"Italian Serie A",87,87,"GK",NA,NA,NA,NA,NA,NA,86,82,73,88,49
188567,"P. Aubameyang",31,"English Premier League",87,87,"ST, LW",93,86,75,80,38,69,NA,NA,NA,NA,NA
189511,"Sergio Busquets",31,"Spain Primera Division",87,87,"CDM",42,62,80,80,83,77,NA,NA,NA,NA,NA
192387,"C. Immobile",30,"Italian Serie A",87,87,"ST",84,88,67,83,39,77,NA,NA,NA,NA,NA
193041,"K. Navas",33,"French Ligue 1",87,87,"GK",NA,NA,NA,NA,NA,NA,90,81,75,90,53
194765,"A. Griezmann",29,"Spain Primera Division",87,87,"ST, CF, LW",79,85,84,88,57,72,NA,NA,NA,NA,NA
200104,"H. Son",27,"English Premier League",87,87,"LM, CF",88,86,80,87,43,69,NA,NA,NA,NA,NA
201942,"Roberto Firmino",28,"English Premier League",87,87,"CF",77,80,81,90,61,78,NA,NA,NA,NA,NA
201535,"R. Varane",27,"Spain Primera Division",86,88,"CB",82,49,64,64,87,82,NA,NA,NA,NA,NA
195864,"P. Pogba",27,"English Premier League",86,87,"CM, CDM",73,81,86,85,66,85,NA,NA,NA,NA,NA
199556,"M. Verratti",27,"French Ligue 1",86,87,"CM, CDM",64,60,85,90,79,67,NA,NA,NA,NA,NA
143076,"A. Gómez",32,"Italian Serie A",86,86,"CAM, CF, ST",90,79,84,88,39,55,NA,NA,NA,NA,NA
152729,"Piqué",33,"Spain Primera Division",86,86,"CB",57,61,71,67,86,80,NA,NA,NA,NA,NA
168542,"David Silva",34,"Spain Primera Division",86,86,"CAM, CM",64,74,88,88,52,55,NA,NA,NA,NA,NA
177683,"Y. Sommer",31,"German 1. Bundesliga",86,86,"GK",NA,NA,NA,NA,NA,NA,80,86,85,85,51
178603,"M. Hummels",31,"German 1. Bundesliga",86,86,"CB",58,58,77,72,89,77,NA,NA,NA,NA,NA
183711,"J. Henderson",30,"English Premier League",86,86,"CDM, CM",65,74,84,79,81,82,NA,NA,NA,NA,NA
189332,"Jordi Alba",31,"Spain Primera Division",86,86,"LB",88,69,81,83,78,72,NA,NA,NA,NA,NA
189596,"T. Müller",30,"German 1. Bundesliga",86,86,"CAM, RM, RW",68,82,82,78,56,71,NA,NA,NA,NA,NA
193080,"De Gea",29,"English Premier League",86,86,"GK",NA,NA,NA,NA,NA,NA,88,81,78,89,58
204963,"Carvajal",28,"Spain Primera Division",86,86,"RB",80,54,78,80,82,80,NA,NA,NA,NA,NA
208830,"J. Vardy",33,"English Premier League",86,86,"ST",88,85,66,78,55,75,NA,NA,NA,NA,NA
235790,"K. Havertz",21,"English Premier League",85,93,"CAM, RM, CF",84,81,79,85,45,67,NA,NA,NA,NA,NA
230621,"G. Donnarumma",21,"Italian Serie A",85,92,"GK",NA,NA,NA,NA,NA,NA,89,81,76,89,50
235243,"M. de Ligt",20,"Italian Serie A",85,92,"CB",72,59,66,69,85,84,NA,NA,NA,NA,NA
231677,"M. Rashford",22,"English Premier League",85,91,"LM, ST",91,83,78,86,45,78,NA,NA,NA,NA,NA
222492,"L. Sané",24,"German 1. Bundesliga",85,90,"LM",93,81,79,86,38,67,NA,NA,NA,NA,NA
228702,"F. de Jong",23,"Spain Primera Division",85,90,"CM",80,64,84,87,76,77,NA,NA,NA,NA,NA
207865,"Marquinhos",26,"French Ligue 1",85,89,"CB, CDM",72,41,73,70,87,78,NA,NA,NA,NA,NA
220440,"C. Lenglet",25,"Spain Primera Division",85,89,"CB",74,45,67,65,87,81,NA,NA,NA,NA,NA
223848,"S. Milinković-Savić",25,"Italian Serie A",85,89,"CM, CDM, CAM",69,79,80,83,79,85,NA,NA,NA,NA,NA
232363,"M. Škriniar",25,"Italian Serie A",85,89,"CB",69,41,59,66,87,81,NA,NA,NA,NA,NA
202556,"M. Depay",26,"French Ligue 1",85,88,"CF, LW, CAM",86,83,81,84,32,80,NA,NA,NA,NA,NA
212188,"T. Werner",24,"English Premier League",85,88,"ST",91,85,69,84,35,71,NA,NA,NA,NA,NA
231866,"Rodri",24,"English Premier League",85,88,"CDM, CM",65,68,77,77,82,79,NA,NA,NA,NA,NA
192563,"B. Leno",28,"English Premier League",85,87,"GK",NA,NA,NA,NA,NA,NA,85,83,80,86,56
206113,"S. Gnabry",24,"German 1. Bundesliga",85,87,"RM, LM, RW",82,83,78,86,43,70,NA,NA,NA,NA,NA
210243,"Ricardo Pereira",26,"English Premier League",85,87,"RB",83,66,79,82,81,76,NA,NA,NA,NA,NA
192505,"R. Lukaku",27,"Italian Serie A",85,86,"ST",81,83,76,75,38,84,NA,NA,NA,NA,NA
198706,"Luis Alberto",27,"Italian Serie A",85,86,"CAM, CM, CF",74,76,86,85,58,59,NA,NA,NA,NA,NA
201399,"M. Icardi",27,"French Ligue 1",85,86,"ST",73,85,65,78,36,68,NA,NA,NA,NA,NA
208670,"H. Ziyech",27,"English Premier League",85,86,"CAM, RW",80,76,87,84,50,66,NA,NA,NA,NA,NA
164240,"Thiago Silva",35,"English Premier League",85,85,"CB",59,54,72,71,86,78,NA,NA,NA,NA,NA
175943,"D. Mertens",33,"Italian Serie A",85,85,"CF, ST",86,82,80,89,35,51,NA,NA,NA,NA,NA
180206,"M. Pjanić",30,"Spain Primera Division",85,85,"CM, CDM",67,68,87,85,75,67,NA,NA,NA,NA,NA
181291,"G. Wijnaldum",29,"English Premier League",85,85,"CM",76,75,81,86,78,79,NA,NA,NA,NA,NA
182493,"D. Godín",34,"Italian Serie A",85,85,"CB",57,48,64,61,87,79,NA,NA,NA,NA,NA
184087,"T. Alderweireld",31,"English Premier League",85,85,"CB",63,55,72,67,87,79,NA,NA,NA,NA,NA
184344,"L. Bonucci",33,"Italian Serie A",85,85,"CB",60,58,69,70,87,77,NA,NA,NA,NA,NA
185122,"P. Gulácsi",30,"German 1. Bundesliga",85,85,"GK",NA,NA,NA,NA,NA,NA,84,85,82,86,43
188350,"M. Reus",31,"German 1. Bundesliga",85,85,"CAM, CF",80,86,84,85,45,63,NA,NA,NA,NA,NA
188377,"K. Walker",30,"English Premier League",85,85,"RB",92,63,76,77,80,82,NA,NA,NA,NA,NA
189509,"Thiago",29,"English Premier League",85,85,"CM, CDM",64,72,85,90,70,62,NA,NA,NA,NA,NA
189513,"Parejo",31,"Spain Primera Division",85,85,"CM",50,83,90,81,71,69,NA,NA,NA,NA,NA
190460,"C. Eriksen",28,"Italian Serie A",85,85,"CAM, CM, RM",72,81,88,81,53,63,NA,NA,NA,NA,NA
191043,"Alex Sandro",29,"Italian Serie A",85,85,"LB, LM",81,65,77,80,81,81,NA,NA,NA,NA,NA
193747,"Koke",28,"Spain Primera Division",85,85,"CM, RM, LM",67,75,85,81,76,80,NA,NA,NA,NA,NA
198219,"L. Insigne",29,"Italian Serie A",85,85,"LW, CF",88,78,83,91,36,44,NA,NA,NA,NA,NA
204485,"R. Mahrez",29,"English Premier League",85,85,"RW, RM",83,79,81,90,38,59,NA,NA,NA,NA,NA
239085,"E. Haaland",19,"German 1. Bundesliga",84,92,"ST",84,87,63,76,43,85,NA,NA,NA,NA,NA
231478,"L. Martínez",22,"Italian Serie A",84,91,"ST",83,82,71,85,48,82,NA,NA,NA,NA,NA
230142,"Oyarzabal",23,"Spain Primera Division",84,90,"LW, RW",81,82,80,84,41,63,NA,NA,NA,NA,NA
212190,"N. Süle",24,"German 1. Bundesliga",84,89,"CB",69,42,59,49,85,81,NA,NA,NA,NA,NA
230658,"Arthur",23,"Italian Serie A",84,89,"CM",66,73,82,87,75,71,NA,NA,NA,NA,NA
209658,"L. Goretzka",25,"German 1. Bundesliga",84,88,"CM, CDM",78,78,80,82,77,85,NA,NA,NA,NA,NA
210035,"Grimaldo",24,"Portuguese Liga ZON SAGRES",84,88,"LB",85,65,79,84,77,71,NA,NA,NA,NA,NA
211300,"A. Martial",24,"English Premier League",84,88,"ST",89,83,74,87,41,72,NA,NA,NA,NA,NA
212194,"J. Brandt",24,"German 1. Bundesliga",84,88,"CAM, CM",81,78,82,87,51,66,NA,NA,NA,NA,NA
213345,"K. Coman",24,"German 1. Bundesliga",84,88,"LM, RM, LW",93,76,77,87,29,59,NA,NA,NA,NA,NA
216460,"J. Giménez",25,"Spain Primera Division",84,88,"CB",67,45,53,54,86,83,NA,NA,NA,NA,NA
226753,"A. Onana",24,"Holland Eredivisie",84,88,"GK",NA,NA,NA,NA,NA,NA,84,80,87,86,63
226790,"W. Ndidi",23,"English Premier League",84,88,"CDM, CM",71,62,68,74,87,84,NA,NA,NA,NA,NA
208421,"Saúl",25,"Spain Primera Division",84,87,"CM, LM, LB",68,79,79,81,78,79,NA,NA,NA,NA,NA
189117,"R. Bürki",29,"German 1. Bundesliga",84,85,"GK",NA,NA,NA,NA,NA,NA,85,82,72,88,47
198176,"S. de Vrij",28,"Italian Serie A",84,85,"CB",68,41,62,68,86,75,NA,NA,NA,NA,NA
200458,"L. Digne",26,"English Premier League",84,85,"LB",78,69,80,79,80,76,NA,NA,NA,NA,NA
209889,"R. Guerreiro",26,"German 1. Bundesliga",84,85,"LM, LB, CM",74,78,84,87,73,57,NA,NA,NA,NA,NA
209989,"T. Partey",27,"Spain Primera Division",84,85,"CM",71,74,81,81,82,85,NA,NA,NA,NA,NA
212462,"Alex Telles",27,"Portuguese Liga ZON SAGRES",84,85,"LB",85,74,83,81,79,76,NA,NA,NA,NA,NA
216352,"M. Brozović",27,"Italian Serie A",84,85,"CDM, CM",63,74,80,81,79,78,NA,NA,NA,NA,NA
135507,"Fernandinho",35,"English Premier League",84,84,"CB, CDM",64,72,78,78,85,79,NA,NA,NA,NA,NA
146536,"Jesús Navas",34,"Spain Primera Division",84,84,"RB, RM",87,69,79,83,80,58,NA,NA,NA,NA,NA
163587,"K. Schmeichel",33,"English Premier League",84,84,"GK",NA,NA,NA,NA,NA,NA,82,77,83,89,54
168435,"S. Sirigu",33,"Italian Serie A",84,84,"GK",NA,NA,NA,NA,NA,NA,84,80,76,82,51
176266,"Lucas Leiva",33,"Italian Serie A",84,84,"CDM",60,66,76,78,83,71,NA,NA,NA,NA,NA
177413,"A. Witsel",31,"German 1. Bundesliga",84,84,"CDM, CM",63,73,81,79,82,82,NA,NA,NA,NA,NA
178005,"Rui Patrício",32,"English Premier League",84,84,"GK",NA,NA,NA,NA,NA,NA,84,80,77,83,55
184432,"Azpilicueta",30,"English Premier League",84,84,"RB, LB",67,55,77,72,84,76,NA,NA,NA,NA,NA
190483,"Douglas Costa",29,"Italian Serie A",84,84,"LM, RW, LW",93,73,79,91,43,59,NA,NA,NA,NA,NA
192629,"Iago Aspas",32,"Spain Primera Division",84,84,"ST, RW",82,85,78,86,35,63,NA,NA,NA,NA,NA
193165,"J. Corona",27,"Portuguese Liga ZON SAGRES",84,84,"RM, RB",84,68,78,88,77,60,NA,NA,NA,NA,NA
193474,"I. Gueye",30,"French Ligue 1",84,84,"CDM, CM",69,61,71,78,85,79,NA,NA,NA,NA,NA
197445,"D. Alaba",28,"German 1. Bundesliga",84,84,"CB, LB",77,70,81,79,83,76,NA,NA,NA,NA,NA
197781,"Isco",28,"Spain Primera Division",84,84,"CAM, CM, LW",68,75,82,90,59,59,NA,NA,NA,NA,NA
197965,"Pizzi",30,"Portuguese Liga ZON SAGRES",84,84,"RM, CM",75,78,83,83,65,68,NA,NA,NA,NA,NA
199451,"W. Ben Yedder",29,"French Ligue 1",84,84,"ST",84,83,77,87,39,63,NA,NA,NA,NA,NA
200647,"J. Iličić",32,"Italian Serie A",84,84,"CF, ST",70,86,84,85,43,68,NA,NA,NA,NA,NA
204838,"R. Jiménez",29,"English Premier League",84,84,"ST",78,82,76,82,49,83,NA,NA,NA,NA,NA
207863,"Felipe",31,"Spain Primera Division",84,84,"CB",62,41,58,61,86,86,NA,NA,NA,NA,NA
211256,"N. Tagliafico",27,"Holland Eredivisie",84,84,"LB",82,56,73,76,82,79,NA,NA,NA,NA,NA
239053,"F. Valverde",21,"Spain Primera Division",83,90,"CM",86,74,78,79,77,80,NA,NA,NA,NA,NA
222665,"M. Ødegaard",21,"Spain Primera Division",83,89,"CAM, CM, RM",78,75,84,85,58,63,NA,NA,NA,NA,NA
231443,"O. Dembélé",23,"Spain Primera Division",83,89,"LW, RW",92,77,77,87,36,56,NA,NA,NA,NA,NA
211688,"Gayà",25,"Spain Primera Division",83,88,"LB",84,61,78,80,79,70,NA,NA,NA,NA,NA
212151,"T. Strakosha",25,"Italian Serie A",83,88,"GK",NA,NA,NA,NA,NA,NA,86,79,75,88,44
221087,"Pau López",25,"Italian Serie A",83,88,"GK",NA,NA,NA,NA,NA,NA,82,83,79,84,49
225100,"J. Gomez",23,"English Premier League",83,88,"CB",82,30,66,69,83,80,NA,NA,NA,NA,NA
225953,"S. Bergwijn",22,"English Premier League",83,88,"LM, LW, RM",87,79,78,85,39,72,NA,NA,NA,NA,NA
228618,"F. Mendy",25,"Spain Primera Division",83,88,"LB",92,64,76,79,78,82,NA,NA,NA,NA,NA
229880,"A. Wan-Bissaka",22,"English Premier League",83,88,"RB, RWB",86,51,68,80,82,74,NA,NA,NA,NA,NA
235212,"A. Hakimi",21,"Italian Serie A",83,88,"RM",94,70,76,82,72,76,NA,NA,NA,NA,NA
210413,"A. Romagnoli",25,"Italian Serie A",83,87,"CB",70,40,56,69,85,78,NA,NA,NA,NA,NA
211117,"D. Alli",24,"English Premier League",83,87,"CAM, CM",72,80,79,83,71,79,NA,NA,NA,NA,NA
221363,"D. van de Beek",23,"English Premier League",83,87,"CM, CAM",70,80,78,78,72,80,NA,NA,NA,NA,NA
229261,"D. Zakaria",23,"German 1. Bundesliga",83,87,"CDM, CB, CM",83,64,75,77,81,85,NA,NA,NA,NA,NA
230666,"Gabriel Jesus",23,"English Premier League",83,87,"ST",85,82,72,87,42,71,NA,NA,NA,NA,NA
205600,"S. Umtiti",26,"Spain Primera Division",83,86,"CB",66,62,69,69,83,79,NA,NA,NA,NA,NA
207410,"M. Kovačić",26,"English Premier League",83,86,"CM, CDM",75,69,83,88,69,70,NA,NA,NA,NA,NA
210514,"João Cancelo",26,"English Premier League",83,86,"RB",86,65,79,83,77,70,NA,NA,NA,NA,NA
227928,"Nélson Semedo",26,"Spain Primera Division",83,86,"RB",92,57,69,82,77,76,NA,NA,NA,NA,NA
192984,"K. Casteels",28,"German 1. Bundesliga",83,85,"GK",NA,NA,NA,NA,NA,NA,83,80,80,84,45
199482,"A. Lopes",29,"French Ligue 1",83,85,"GK",NA,NA,NA,NA,NA,NA,85,80,74,86,64
204923,"M. Sabitzer",26,"German 1. Bundesliga",83,85,"CM, CAM",80,83,80,80,65,78,NA,NA,NA,NA,NA
219693,"Diego Carlos",27,"Spain Primera Division",83,85,"CB",77,47,63,67,82,83,NA,NA,NA,NA,NA
192774,"K. Manolas",29,"Italian Serie A",83,84,"CB",82,25,42,60,85,79,NA,NA,NA,NA,NA
197061,"J. Matip",28,"English Premier League",83,84,"CB",60,46,68,68,85,78,NA,NA,NA,NA,NA
205069,"Juan Bernat",27,"French Ligue 1",83,84,"LB, LM",81,64,79,83,76,67,NA,NA,NA,NA,NA
216594,"N. Fekir",26,"Spain Primera Division",83,84,"CAM, RM, ST",79,82,81,87,38,79,NA,NA,NA,NA,NA
41236,"Z. Ibrahimović",38,"Italian Serie A",83,83,"ST",52,88,77,79,34,77,NA,NA,NA,NA,NA
162347,"João Moutinho",33,"English Premier League",83,83,"CM",56,75,86,83,72,66,NA,NA,NA,NA,NA
163705,"S. Mandanda",35,"French Ligue 1",83,83,"GK",NA,NA,NA,NA,NA,NA,81,81,78,84,48
167664,"G. Higuaín",32,"USA Major League Soccer",83,83,"ST",65,85,71,80,31,69,NA,NA,NA,NA,NA
169195,"Renato Augusto",32,"Chinese Super League",83,83,"CM, CAM, LM",71,79,82,81,72,77,NA,NA,NA,NA,NA
169416,"C. Vela",31,"USA Major League Soccer",83,83,"RW, LW, CAM",80,82,78,84,31,67,NA,NA,NA,NA,NA
170890,"B. Matuidi",33,"USA Major League Soccer",83,83,"CDM, CM",75,66,75,77,82,79,NA,NA,NA,NA,NA
172871,"J. Vertonghen",33,"Portuguese Liga ZON SAGRES",83,83,"CB, LB",58,62,72,71,85,78,NA,NA,NA,NA,NA
173731,"G. Bale",30,"English Premier League",83,83,"RW",88,84,82,80,58,73,NA,NA,NA,NA,NA
176676,"Marcelo",32,"Spain Primera Division",83,83,"LB",79,73,80,88,76,76,NA,NA,NA,NA,NA
178518,"R. Nainggolan",32,"Italian Serie A",83,83,"CAM, CM, CF",71,80,80,83,83,81,NA,NA,NA,NA,NA
178562,"E. Banega",32,"Saudi Abdul L. Jameel League",83,83,"CM, CDM",63,74,84,82,76,70,NA,NA,NA,NA,NA
180930,"E. Džeko",34,"Italian Serie A",83,83,"ST",59,84,71,75,46,73,NA,NA,NA,NA,NA
181872,"A. Vidal",33,"Italian Serie A",83,83,"CM, CDM, CAM",65,79,79,78,83,86,NA,NA,NA,NA,NA
183512,"Yuri Berchiche",30,"Spain Primera Division",83,83,"LB",83,68,76,76,80,83,NA,NA,NA,NA,NA
184134,"Fernando",32,"Spain Primera Division",83,83,"CDM, CM",66,62,74,73,82,82,NA,NA,NA,NA,NA
186345,"K. Trippier",29,"Spain Primera Division",83,83,"RB",73,60,81,77,79,72,NA,NA,NA,NA,NA
186942,"I. Gündoğan",29,"English Premier League",83,83,"CM, CDM",66,74,84,84,72,71,NA,NA,NA,NA,NA
187961,"Paulinho",31,"Chinese Super League",83,83,"CM, CAM, CDM",72,82,77,82,80,85,NA,NA,NA,NA,NA
188152,"Oscar",28,"Chinese Super League",83,83,"CAM, CM, LW",78,79,83,83,58,65,NA,NA,NA,NA,NA
188943,"K. Trapp",29,"German 1. Bundesliga",83,83,"GK",NA,NA,NA,NA,NA,NA,82,78,79,85,49
189242,"Coutinho",28,"Spain Primera Division",83,83,"CAM, LW, CM",72,79,82,89,52,59,NA,NA,NA,NA,NA
189575,"Muniain",27,"Spain Primera Division",83,83,"LW, CAM, RW",81,75,80,87,51,60,NA,NA,NA,NA,NA
190941,"L. Hrádecký",30,"German 1. Bundesliga",83,83,"GK",NA,NA,NA,NA,NA,NA,85,78,69,87,41
193301,"A. Lacazette",29,"English Premier League",83,83,"ST",76,82,75,84,46,75,NA,NA,NA,NA,NA
193314,"Aitor",29,"Spain Primera Division",83,83,"GK",NA,NA,NA,NA,NA,NA,84,78,74,86,55
198717,"W. Zaha",27,"English Premier League",83,83,"LM, CF",90,75,72,87,34,75,NA,NA,NA,NA,NA
199042,"C. Aránguiz",31,"German 1. Bundesliga",83,83,"CDM, CM",60,72,82,81,78,73,NA,NA,NA,NA,NA
199434,"D. Tadić",31,"Holland Eredivisie",83,83,"CF, LW, CAM",66,80,84,84,41,73,NA,NA,NA,NA,NA
199564,"Sergi Roberto",28,"Spain Primera Division",83,83,"RB, CM",77,63,81,78,77,73,NA,NA,NA,NA,NA
199845,"F. Acerbi",32,"Italian Serie A",83,83,"CB",62,50,62,63,86,83,NA,NA,NA,NA,NA
199914,"Allan",29,"English Premier League",83,83,"CM",73,71,77,82,85,83,NA,NA,NA,NA,NA
200949,"Lucas Moura",27,"English Premier League",83,83,"RM, CF",92,78,72,87,43,67,NA,NA,NA,NA,NA
203486,"T. Hazard",27,"German 1. Bundesliga",83,83,"LM, RM, CF",84,77,81,86,52,67,NA,NA,NA,NA,NA
205070,"Portu",28,"Spain Primera Division",83,83,"RW, RM, CF",90,79,81,82,59,79,NA,NA,NA,NA,NA
205498,"Jorginho",28,"English Premier League",83,83,"CM, CDM",55,65,84,80,72,73,NA,NA,NA,NA,NA
205678,"E. Višća",30,"Turkish Süper Lig",83,83,"RM",88,77,79,82,47,64,NA,NA,NA,NA,NA
208093,"Gerard Moreno",28,"Spain Primera Division",83,83,"ST, RM, CF",76,84,76,80,46,73,NA,NA,NA,NA,NA
208574,"F. Kostić",27,"German 1. Bundesliga",83,83,"LM, LWB",88,76,79,83,68,80,NA,NA,NA,NA,NA
215333,"D. Zapata",29,"Italian Serie A",83,83,"ST",75,81,59,78,37,83,NA,NA,NA,NA,NA
216547,"Rafa",27,"Portuguese Liga ZON SAGRES",83,83,"LM, RM",94,73,74,87,50,52,NA,NA,NA,NA,NA
220407,"M. Dúbravka",31,"English Premier League",83,83,"GK",NA,NA,NA,NA,NA,NA,79,80,81,86,46
224334,"M. Acuña",28,"Spain Primera Division",83,83,"LB, LM",76,74,82,86,78,82,NA,NA,NA,NA,NA
230481,"Ronaldo Cabrais",28,"Campeonato Brasileiro Série A",83,83,"CAM, RM",88,77,83,84,35,72,NA,NA,NA,NA,NA
245279,"Reguilón",23,"English Premier League",82,89,"LB, LM",85,55,73,78,78,70,NA,NA,NA,NA,NA
226271,"Fabián",24,"Italian Serie A",82,88,"CM",63,78,78,83,74,68,NA,NA,NA,NA,NA
220814,"L. Hernández",24,"German 1. Bundesliga",82,87,"CB, LB",77,54,70,71,83,79,NA,NA,NA,NA,NA
224293,"Rúben Neves",23,"English Premier League",82,87,"CM",61,75,84,77,71,73,NA,NA,NA,NA,NA
226226,"G. Lo Celso",24,"English Premier League",82,87,"CM, CAM",77,77,82,85,65,73,NA,NA,NA,NA,NA
193105,"A. Areola",27,"English Premier League",82,86,"GK",NA,NA,NA,NA,NA,NA,85,79,80,84,55
206585,"Kepa",25,"English Premier League",82,86,"GK",NA,NA,NA,NA,NA,NA,81,82,85,82,33
215698,"M. Maignan",24,"French Ligue 1",82,86,"GK",NA,NA,NA,NA,NA,NA,80,80,82,83,46
220834,"Marco Asensio",24,"Spain Primera Division",82,86,"LW, RW",79,80,81,83,43,61,NA,NA,NA,NA,NA
225375,"K. Laimer",23,"German 1. Bundesliga",82,86,"CDM, CM, RB",85,68,78,78,80,77,NA,NA,NA,NA,NA
203263,"H. Maguire",27,"English Premier League",82,85,"CB",50,53,69,71,82,85,NA,NA,NA,NA,NA
212523,"Anderson Talisca",26,"Chinese Super League",82,85,"CAM, RW",80,82,81,83,54,75,NA,NA,NA,NA,NA
214997,"A. Correa",25,"Spain Primera Division",82,85,"RM, ST",84,80,75,87,54,70,NA,NA,NA,NA,NA
215316,"G. Rulli",28,"Spain Primera Division",82,85,"GK",NA,NA,NA,NA,NA,NA,85,78,77,88,54
226110,"N. Pépé",25,"English Premier League",82,85,"RM, RW",89,78,75,84,33,66,NA,NA,NA,NA,NA
226161,"Marcos Llorente",25,"Spain Primera Division",82,85,"CM, CF, RM",84,74,79,81,78,82,NA,NA,NA,NA,NA
198009,"M. Perin",27,"Italian Serie A",82,84,"GK",NA,NA,NA,NA,NA,NA,82,82,71,87,56
208333,"E. Can",26,"German 1. Bundesliga",82,84,"CM, CDM",74,78,79,80,83,87,NA,NA,NA,NA,NA
